Bloco: HudPlayerStatus | Chave: xpos | Linha: 8
Bloco: HudPlayerStatus | Chave: ypos | Linha: 9
Bloco: HudPlayerStatus | Chave: wide | Linha: 10
Bloco: HudPlayerStatus | Chave: tall | Linha: 11
Bloco: HudWeaponAmmo | Chave: xpos | Linha: 19
Bloco: HudWeaponAmmo | Chave: xpos | Linha: 20
Bloco: HudWeaponAmmo | Chave: xpos_minmode | Linha: 20
Bloco: HudWeaponAmmo | Chave: ypos | Linha: 21
Bloco: HudWeaponAmmo | Chave: ypos | Linha: 22
Bloco: HudWeaponAmmo | Chave: ypos_minmode | Linha: 22
Bloco: HudWeaponAmmo | Chave: xpos | Linha: 23
Bloco: HudWeaponAmmo | Chave: ypos | Linha: 24
Bloco: HudWeaponAmmo | Chave: wide | Linha: 25
Bloco: HudWeaponAmmo | Chave: tall | Linha: 26
Bloco: HudObjectiveStatus | Chave: xpos | Linha: 34
Bloco: HudObjectiveStatus | Chave: ypos | Linha: 35
Bloco: HudObjectiveStatus | Chave: wide | Linha: 36
Bloco: HudObjectiveStatus | Chave: tall | Linha: 37
Bloco: CSpectatorTargetID | Chave: xpos | Linha: 280
Bloco: CSpectatorTargetID | Chave: ypos | Linha: 281
Bloco: CSpectatorTargetID | Chave: wide | Linha: 282
Bloco: CSpectatorTargetID | Chave: tall | Linha: 283
Bloco: CSpectatorTargetID | Chave: tall | Linha: 284
Bloco: CSecondaryTargetID | Chave: xpos | Linha: 297
Bloco: CSecondaryTargetID | Chave: ypos | Linha: 298
Bloco: CSecondaryTargetID | Chave: wide | Linha: 299
Bloco: CSecondaryTargetID | Chave: tall | Linha: 300
Bloco: CSecondaryTargetID | Chave: tall | Linha: 301
Bloco: CSecondaryTargetID | Chave: ypos | Linha: 306
Bloco: HudDeathNotice | Chave: xpos | Linha: 503
Bloco: HudDeathNotice | Chave: ypos | Linha: 504
Bloco: HudDeathNotice | Chave: xpos | Linha: 505
Bloco: HudDeathNotice | Chave: ypos | Linha: 506
Bloco: HudDeathNotice | Chave: wide | Linha: 507
Bloco: HudDeathNotice | Chave: tall | Linha: 508
